duration,totalDistance,totalEnergyBurned,vo2max,hr_min,hr_max,hr_q50,hr_q90,hr_q95,hr_q99,whr_min,whr_max,rhr_min,rhr_max,hrv_min,hrv_max,hrv_q50,hrv_q90,hrv_q95,hrv_q99
24.43057433,1.069703256,98.91670974,43.656,45.0,112.0,59.0,94.0,97.0,101.0,101.0,101.0,46.0,46.0,78.8559,101.283,81.87440000000001,96.2931,98.78805,100.78401
24.43057433,1.069703256,98.91670974,44.0217,45.0,112.0,59.0,94.0,97.0,101.0,101.0,101.0,46.0,46.0,78.8559,101.283,81.87440000000001,96.2931,98.78805,100.78401
35.38774225,4.454378289,554.2817598,43.6287,44.0,199.0,62.0,164.2,175.0,197.62,82.0,82.0,45.0,45.0,41.6263,162.934,81.0131,151.4616,157.19779999999997,161.78676000000002
29.75409563,4.009325033,469.1963088,45.434,43.0,203.0,71.0,160.0,177.79999999999995,200.0,67.0,72.0,43.0,45.0,36.4709,104.152,67.98065,95.1954,99.6737,103.25634
25.43717297,3.147253354,371.8294443,45.6576,47.0,200.0,75.0,158.20000000000005,178.0,197.01999999999998,87.0,87.0,50.0,50.0,89.4085,112.622,91.3503,108.36766,110.49483000000001,112.19656599999999
25.43717297,3.147253354,371.8294443,45.7407,47.0,200.0,75.0,158.20000000000005,178.0,197.01999999999998,87.0,87.0,50.0,50.0,89.4085,112.622,91.3503,108.36766,110.49483000000001,112.19656599999999
26.88184868,1.124621581,102.048,45.8141,53.0,127.0,73.0,106.0,116.0,124.0,90.0,90.0,55.0,55.0,113.425,161.764,137.5945,156.9301,159.34705000000002,161.28061000000002
19.301669,1.074874509,91.12140382,45.8141,46.0,118.0,65.0,106.80000000000001,109.0,113.0,116.0,116.0,47.0,47.0,62.5809,107.022,84.80145,102.57789,104.79994500000001,106.577589
19.301669,1.074874509,91.12140382,45.7989,46.0,118.0,65.0,106.80000000000001,109.0,113.0,116.0,116.0,47.0,47.0,62.5809,107.022,84.80145,102.57789,104.79994500000001,106.577589
34.6750115,4.03028207,488.456,44.869,44.4596,187.0,60.0,127.0,145.50000000000006,180.29999999999995,93.5,93.5,47.0,47.0,12.5424,106.705,80.1973,105.0127,105.85885,106.53577
40.16455448,5.008126593,622.8861787,44.9343,44.0,198.0,61.0,146.70000000000002,165.74999999999983,193.53999999999996,102.0,102.0,47.0,47.0,31.0494,103.236,75.5463,97.69806,100.46703,102.682206
